total_events,events_per_minute,cnt_4624,cnt_4625,cnt_4648,cnt_4661,cnt_4672,cnt_4688,cnt_4696,cnt_4697,cnt_4698,cnt_4702,cnt_4720,cnt_4726,cnt_4728,cnt_4732,cnt_4738,cnt_4756,cnt_4768,cnt_4769,cnt_4770,cnt_4771,cnt_4773,cnt_4776,cnt_4798,cnt_4799,brute_force_score,lateral_move_score,persistence_score,priv_escalation_score,recon_score,execution_score,kerberos_score,logon_failure_ratio,entropy_eventids,distinct_eventids
1480,296.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.4604069079040969,12
1452,290.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.4749857316779253,12
1460,292.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.417803473369504,12
1470,294.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.431168154229707,12
1468,293.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7336547130862408,8
1469,293.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7239174524134918,8
1494,298.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6922572202315878,6
1474,294.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6928444733536537,6
1440,288.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6793509833133474,6
1458,291.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6833221891576698,6
1379,275.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7034144195996759,6
1803,360.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.6998198429858695,15
1896,379.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.6935813806508178,16
2827,565.4,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,9,7,0,0.0,2.5837235261496994,26
2827,565.4,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,9,7,0,0.0,2.6012260873930297,26
2933,586.6,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,9,7,0,0.0,2.5460430782801953,26
2693,538.6,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,9,9,0,0.0,2.282307160802482,25
2809,561.8,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,9,9,0,0.0,2.216546030350326,27
2043,408.6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,1.0275453231719238,21
1725,345.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.9701792156491075,21
1421,284.2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,1.0363495102329017,21
919,183.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.46123130293239345,12
429,85.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3188093105309404,6
10271,2054.2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,2.1376816204458633,22
10267,2053.4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,2.1368912172503753,22
10113,2022.6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,2.0633579198347682,22
10125,2025.0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,2.0613809014912827,23
10117,2023.4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,2.0579622709660645,23
1652,330.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.1421691308860977,13
3106,621.2,2,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,0.0,2.2281991445065246,28
3129,625.8,2,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,0.0,2.243822370628569,28
3176,635.2,2,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,0.0,2.247729159575811,27
3450,690.0,3,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,10,0,0.0,2.4959496028683033,29
3914,782.8,11,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,11,0,10,0,0.0,2.8170713254860087,39
2734,546.8,11,0,0,0,11,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,11,0,4,0,0.0,3.070509257247039,40
2832,566.4,13,0,1,0,12,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,12,0,7,0,0.0,3.337420962700848,43
2919,583.8,16,0,2,0,14,10,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,14,0,10,0,0.0,3.56724559784221,43
3657,731.4,18,0,3,0,15,14,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,15,0,14,0,0.0,3.450521217760319,43
5586,1117.2,13,0,4,0,9,22,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,9,0,22,0,0.0,3.2148460778972123,37
7530,1506.0,11,0,4,0,7,23,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,7,0,23,0,0.0,3.2576345924756174,44
8548,1709.6,9,0,3,0,6,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,6,0,25,0,0.0,3.244321776244733,47
9194,1838.8,6,0,2,0,4,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,0,24,0,0.0,3.1758620838398586,47
7945,1589.0,3,0,1,0,2,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,19,0,0.0,3.1563118899402176,47
5202,1040.4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.0,3.141246353029906,41
3274,654.8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0,3.236343982862438,34
2731,546.2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,9,5,0,0.0,3.236029624052671,32
1938,387.6,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,9,7,0,0.0,3.215082170039496,28
2134,426.8,1,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,1,1,9,10,0,0.0,3.2429509972568584,31
2015,403.0,1,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,1,1,9,10,0,0.0,3.318857172656902,30
1789,357.8,1,0,0,0,1,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,1,1,9,14,0,0.0,3.2041971115823435,30
938,187.6,1,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,11,0,0.0,3.2993278968896087,29
695,139.0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7,0,0.0,3.225776956210767,28
443,88.6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,3.174475248522915,23
416,83.2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,3.1755048019380663,23
55,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.3511836095639125,12
20,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.3361602537967339,4
16925,3385.0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0.0,2.7712654661941887,35
18760,3752.0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0.0,2.9824848148703182,35
18213,3642.6,1,0,0,0,1,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,26,0,0.0,2.991678722044481,41
20901,4180.2,3,0,0,0,3,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,33,0,0.0,3.230191568752056,44
15010,3002.0,3,0,0,0,3,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,18,0,0.0,3.3054456268019545,45
10523,2104.6,3,0,0,0,3,19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,19,0,0.0,3.5271603720544236,51
10431,2086.2,5,0,0,0,5,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5,0,30,0,0.0,3.3796743738255257,58
11751,2350.2,4,0,0,0,4,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,0,28,0,0.0,3.511731633161083,55
22676,4535.2,2,0,0,0,2,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,24,0,0.0,2.8200458776262094,54
33134,6626.8,2,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,26,0,0.0,2.6414335198199272,52
31505,6301.0,2,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,24,0,0.0,2.6334484479637923,46
28118,5623.6,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0.0,2.5223096511891026,42
26341,5268.2,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0.0,2.4203342226848714,40
12679,2535.8,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0.0,2.667232616197779,40
3166,633.2,1,0,3,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,12,0,0.0,2.929807782518418,33
2683,536.6,1,0,4,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,9,0,0.0,2.743808869577773,28
2501,500.2,1,0,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,8,0,0.0,2.709874868832454,28
3894,778.8,1,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,10,0,0.0,2.4744059089244663,30
4027,805.4,1,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,10,0,0.0,2.482144432841894,30
4568,913.6,13,0,4,0,10,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,27,0,10,4,38,0,0.0,3.451727130669697,91
28346,5669.2,45,0,4,0,42,170,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0,91,1,42,27,171,0,0.0,3.542803012644486,122
48680,9736.0,63,0,7,0,58,262,1,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,19,0,128,21,58,30,263,0,0.0,3.366200391115993,144
64898,12979.6,65,0,7,0,60,275,1,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,19,0,132,23,60,30,276,0,0.0,3.2199842023796954,144
66865,13373.0,65,0,7,0,60,281,1,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,19,0,132,23,60,30,282,0,0.0,3.211614848540417,145
64649,12929.8,52,0,4,0,50,250,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,106,23,50,26,250,0,0.0,3.161651141092306,91
40746,8149.2,20,0,3,0,18,116,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,41,22,18,3,116,0,0.0,2.738609935937268,67
20689,4137.8,2,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,25,0,0.0,2.493601328861818,43
2932,586.4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.0,2.8773285653780976,25
797,159.4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,2.770647821279875,21
424,84.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,2.573444067176367,18
391,78.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,2.4977469411679616,18
54,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.1962641420901567,9
26,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.203800894410233,9
77085,15417.0,1,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,12,0,0.0,2.109695456317929,44
74351,14870.2,1,0,0,0,1,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,2,1,1,11,14,0,0.0,2.4059439584513314,45
70530,14106.0,1,0,0,0,1,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,2,2,1,11,26,0,0.0,2.573831162361622,46
67856,13571.2,0,0,0,0,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,9,34,0,0.0,2.6587424884337936,41
61082,12216.4,5,0,4,0,5,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,14,1,5,9,40,0,0.0,2.702289352563369,50
49721,9944.2,8,0,4,0,8,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,20,1,8,9,42,0,0.0,2.5009440056783134,50
55194,11038.8,8,0,4,0,8,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,8,0,41,0,0.0,2.8883130885062624,52
70160,14032.0,8,0,4,0,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,8,0,45,0,0.0,3.0736604440442,53
78439,15687.8,8,0,7,0,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,8,0,41,0,0.0,2.918000586198602,51
93012,18602.4,3,0,6,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,33,0,0.0,2.6640519867295906,46
96196,19239.2,0,0,8,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,36,0,0.0,2.5166214793710857,43
98404,19680.8,1,0,8,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,42,0,0.0,2.429165920193615,48
78513,15702.6,1,0,8,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,26,0,0.0,2.308170257881191,46
70268,14053.6,1,0,5,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,18,0,0.0,2.4210108958182817,37
66804,13360.8,2,0,2,0,2,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,31,0,0.0,2.593582394853763,36
58117,11623.4,2,0,0,0,2,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,22,0,0.0,2.6730148273371803,34
52894,10578.8,3,0,0,0,3,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,29,0,0.0,2.811700584341737,35
67694,13538.8,34,0,3,0,31,118,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,68,1,31,16,119,0,0.0,2.93724404012599,110
70245,14049.0,41,0,4,0,38,137,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,83,1,38,20,138,0,0.0,3.2838988598804573,136
64736,12947.2,58,0,10,0,53,185,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,121,2,53,21,186,0,0.0,3.4807158491724026,143
79357,15871.4,67,0,11,0,62,277,1,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,140,21,62,34,278,0,0.0,3.5863662526048823,149
95817,19163.4,68,0,11,0,63,307,1,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,142,26,63,34,308,0,0.0,3.561633380697765,146
87140,17428.0,37,0,8,0,35,219,0,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,80,26,35,18,219,0,0.0,3.547084115709107,83
83519,16703.8,30,0,7,0,28,201,0,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,65,26,28,14,201,0,0.0,3.387575102197188,64
79873,15974.6,12,0,1,0,12,141,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,25,24,12,13,141,0,0.0,3.119438292159004,57
78316,15663.2,5,0,0,0,5,67,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,0,67,0,0.0,2.9518865015817086,49
66226,13245.2,2,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,24,0,0.0,2.769819660927253,43
69755,13951.0,4,0,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,32,0,0.0,2.9086948652188664,44
62388,12477.6,4,0,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,31,0,0.0,2.848764895711108,44
54807,10961.4,7,0,0,0,7,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,35,0,0.0,2.886901796911377,42
40467,8093.4,6,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,22,0,0.0,2.9165751097681367,32
25547,5109.4,6,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,19,0,0.0,2.883231975885008,32
11761,2352.2,4,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,10,0,0.0,2.7451835986765873,28
8367,1673.4,4,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,10,0,0.0,2.870415029612339,28
5172,1034.4,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,0,0.0,2.8526611515867724,27
1038,207.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.5267179076097241,12
43869,8773.8,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,0,1,9,5,0,0.0,1.858554447275109,30
33651,6730.2,1,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,1,1,9,11,0,0.0,1.9812910145771734,31
22155,4431.0,1,0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,1,1,9,12,0,0.0,2.1228645462188127,31
7949,1589.8,1,0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,1,1,9,12,0,0.0,2.574356237122464,31
3694,738.8,1,0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,1,1,9,12,0,0.0,3.036129292406241,31
2469,493.8,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0.0,2.5116641103764543,24
1249,249.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.9028830073021692,15
1012,202.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7139773103905207,8
1156,231.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7751263746521204,14
1152,230.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7202486167969263,14
7538,1507.6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,2.1377774252492308,22
9665,1933.0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,2.1073974758991265,23
9401,1880.2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,2.1231853152022673,23
9156,1831.2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,2.0992192784319155,22
9447,1889.4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,2.2041025411309443,22
3005,601.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,2.212424624176686,20
2565,513.0,2,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,0.0,2.73682574986679,28
3134,626.8,2,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,0.0,2.5590354991073823,28
3261,652.2,2,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,0.0,2.5560231417099164,28
2756,551.2,2,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,0.0,2.411764478350422,28
2613,522.6,2,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,0.0,2.484927157270702,27
1131,226.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.039422913001063,10
663,132.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9001407077587541,7
632,126.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6460288963275258,7
710,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5829313947968741,7
